"user","user_id"
"CaulfieldTim","x1422044577079377924"
"CaulfieldTim","x31046772"
"CaulfieldTim","x243040686"
"CaulfieldTim","x17615311"
"CaulfieldTim","x2762304011"
"CaulfieldTim","x851999584096145409"
"CaulfieldTim","x159714480"
"CaulfieldTim","x171526722"
"CaulfieldTim","x896202053420056577"
"CaulfieldTim","x64247856"
"CaulfieldTim","x1079555645291065344"
"CaulfieldTim","x1323558312"
"CaulfieldTim","x44713255"
"CaulfieldTim","x437838346"
"CaulfieldTim","x1300763589985349633"
"CaulfieldTim","x467869874"
"CaulfieldTim","x1080957772957507585"
"CaulfieldTim","x605379442"
"CaulfieldTim","x17473643"
"CaulfieldTim","x250346726"
"CaulfieldTim","x127305588"
"CaulfieldTim","x266961516"
"CaulfieldTim","x29757971"
"CaulfieldTim","x14205180"
"CaulfieldTim","x908381652212121600"
"CaulfieldTim","x36450411"
"CaulfieldTim","x14314515"
"CaulfieldTim","x90402870"
"CaulfieldTim","x62348411"
"CaulfieldTim","x3026972347"
"CaulfieldTim","x1359604601201303553"
"CaulfieldTim","x3166645871"
"CaulfieldTim","x325614777"
"CaulfieldTim","x1097219137393344515"
"CaulfieldTim","x21242028"
"CaulfieldTim","x1035561554"
"CaulfieldTim","x265729353"
"CaulfieldTim","x305170362"
"CaulfieldTim","x2598791681"
"CaulfieldTim","x1014895405946023942"
"CaulfieldTim","x846396121513709569"
"CaulfieldTim","x1084241853313175552"
"CaulfieldTim","x2153428951"
"CaulfieldTim","x4364536217"
"CaulfieldTim","x2499418290"
"CaulfieldTim","x333556704"
"CaulfieldTim","x1231676010006888448"
"CaulfieldTim","x1109791969977528321"
"CaulfieldTim","x984525902225727488"
"CaulfieldTim","x23678636"
"CaulfieldTim","x105909196"
"CaulfieldTim","x122980375"
"CaulfieldTim","x249860126"
"CaulfieldTim","x28631446"
"CaulfieldTim","x1303090351939477508"
"CaulfieldTim","x4005605284"
"CaulfieldTim","x1262518030560628739"
"CaulfieldTim","x1206051845740941318"
"CaulfieldTim","x1000279302"
"CaulfieldTim","x16405235"
"CaulfieldTim","x151280112"
"CaulfieldTim","x21177481"
"CaulfieldTim","x1321467643"
"CaulfieldTim","x1088096965286600704"
"CaulfieldTim","x168892482"
"CaulfieldTim","x82683644"
"CaulfieldTim","x810914421870563329"
"CaulfieldTim","x210378646"
"CaulfieldTim","x14499829"
"CaulfieldTim","x91572841"
"CaulfieldTim","x476260161"
"CaulfieldTim","x4411372099"
"CaulfieldTim","x947710386"
"CaulfieldTim","x556131685"
"CaulfieldTim","x17041361"
"CaulfieldTim","x352570175"
"CaulfieldTim","x33864359"
"CaulfieldTim","x15458181"
"CaulfieldTim","x23402738"
"CaulfieldTim","x254389399"
"CaulfieldTim","x1630972406"
"CaulfieldTim","x729821560144601088"
"CaulfieldTim","x1373531468744552448"
"CaulfieldTim","x232452461"
"CaulfieldTim","x609102917"
"CaulfieldTim","x30950445"
"CaulfieldTim","x257058263"
"CaulfieldTim","x7764332"
"CaulfieldTim","x144441522"
"CaulfieldTim","x20772763"
"CaulfieldTim","x1378731547054985216"
"CaulfieldTim","x373672391"
"CaulfieldTim","x49698049"
"CaulfieldTim","x568712194"
"CaulfieldTim","x272220041"
"CaulfieldTim","x89705915"
"CaulfieldTim","x473916623"
"CaulfieldTim","x1182947209"
"CaulfieldTim","x7018222"
"CaulfieldTim","x29601010"
"CaulfieldTim","x1216808446974136320"
"CaulfieldTim","x267941663"
"CaulfieldTim","x332080468"
"CaulfieldTim","x192601290"
"CaulfieldTim","x74083456"
"CaulfieldTim","x3920812274"
"CaulfieldTim","x36232215"
"CaulfieldTim","x35203319"
"CaulfieldTim","x17660728"
"CaulfieldTim","x2432583894"
"CaulfieldTim","x205965649"
"CaulfieldTim","x392375138"
"CaulfieldTim","x550685322"
"CaulfieldTim","x472694608"
"CaulfieldTim","x794208824534110208"
"CaulfieldTim","x1060751816"
"CaulfieldTim","x382880483"
"CaulfieldTim","x222876868"
"CaulfieldTim","x30150742"
"CaulfieldTim","x350923752"
"CaulfieldTim","x237780059"
"CaulfieldTim","x246460967"
"CaulfieldTim","x34774986"
"CaulfieldTim","x456339053"
"CaulfieldTim","x498122538"
"CaulfieldTim","x58869089"
