"word1","word2","n"
"climate","change",833
"climatechange","climatecrisis",220
"tackle","climatechange",211
"fossil","fuel",179
"climatecrisis","climateemergency",162
"fuel","subsidies",150
"bold","action",143
"reach","net",143
"climate","financing",142
"increased","climate",142
"financing","glblctznau",141
"pacific","neighbours",141
"scottmorrisonmp","sussanley",141
"sussanley","birmo",141
"climateemergency","climateaction",139
"3","4",137
"4","billion",134
"climatechange","ipcc",134
"flooding","climatechange",132
"ipcc","cop26",132
"climate","collapse",131
"wildfires","flooding",131
"billion","purely",129
"bullshitjobs","wildfires",129
"climatecrisis","climatechange",129
"co2","stemming",129
"massive","amount",129
"purely","systemic",129
"redundant","bullshitjobs",129
"climatechange","amp",123
"actonclimate","globalwarming",105
"climate","crisis",104
"climateaction","actonclimate",99
"climatechange","climateaction",87
"degrees","celsius",86
"10","day",81
"average","degrees",80
"day","rolling",80
"rolling","average",80
"global","warming",78
"change","climatechange",76
"extreme","weather",76
"globalwarming","climatechange",76
"hurricane","ida",75
"tree","planting",75
"protect","forests",74
"climatechange","sustainability",73
"reconciliation","package",73
"senschumer","speakerpelosi",73
"super","polluters",73
"support","tree",73
"amp","climatechange",70
"climatechange","climateemergency",70
"medical","journals",70
"health","journals",65
"fight","climatechange",64
"climatechange","globalwarming",60
"fossil","fuels",59
"urgent","action",57
"climate","action",56
"clean","energy",54
"environment","climatechange",53
"climateemergency","climatechange",51
"public","health",51
"world","leaders",51
"address","climatechange",49
"climatechange","environment",49
"sustainability","climatechange",47
"200","health",45
"air","quality",45
"covid","19",45
"carbon","emissions",44
"globalwarming","fridaysforfuture",44
"climateaction","climatechange",43
"climateemergency","climatecrisis",43
"combat","climatechange",42
"air","pollution",39
"climatechange","extinctionrebellion",39
"emergency","action",38
"climatecrisis","climateaction",36
"healthy","future",34
"climatechange","fridaysforfuture",33
"renewables","globalwarming",33
"airquality","environment",32
"climatechange","plantatree",32
"environment","healthy",32
"future","children",32
"journals","call",32
"plantatree","airquality",32
"co2","emissions",30
"fridaysforfuture","renewables",30
"greenhouse","gas",30
"tackling","climatechange",30
"protect","health",29
"arctic","warming",28
"cop26","climatechange",28
"fighting","climatechange",28
,,28
"climatechange","impacts",27
"climatechange","mitigation",27
"sea","levels",27
"uprootthesystem","globalwarming",27
"fridaysforfuture","renewableenergy",26
"tackle","climate",26
"clean","air",25
"climateaction","climateactionnow",25
"electric","cars",25
"greenwashing","uprootthesystem",25
"renewableenergy","electricvehicle",25
"uprootthesystem","greenwashing",25
"future","generations",24
"weather","events",24
"climate","climatechange",23
"ipcc","report",23
"100","times",22
"biodiversity","loss",22
"climateactionnow","globalwarming",22
"greenwashing","climatechange",22
"build","billions",21
"cars","100",21
"climateaction","climatecrisis",21
"climatecrisis","climatejustice",21
"covid19","climatechange",21
"extinctionrebellion","renewables",21
"uprootthesystem","facetheclimateemergency",21
"200","medical",20
"3","americans",20
"canada","source",20
"climatebrawl","climatecrisis",20
"climatechange","biodiversity",20
"extinctionrebellion","uprootthesystem",20
"global","temperature",20
"green","technology",20
"real","green",20
"sea","level",20
"stop","climatechange",20
