"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2167059661","x1433118644377112578",2021-09-01 17:24:45,"JennyBryan","I didn't expect programming to involve so much time studying a thesaurus #namingThings","Twitter Web App",86,,,,FALSE,FALSE,47,0,,,"namingThings",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1433118644377112578","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1431828264759218181",2021-08-29 03:57:15,"JennyBryan","@CMastication I really benefited from having some responsibilities around the house, which helped me feel like I had a place in this new family; also being signed up for some activities to structure my time (I was in Germany as an exchange student)","Twitter Web App",234,"x1431823973231304705","x43186378","CMastication",FALSE,FALSE,15,0,,,,,,,,,,,,,,,,"x43186378","CMastication","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1431828264759218181","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1431798678025539591",2021-08-29 01:59:41,"JennyBryan","@NGhoussoub 😍 Toby recognizes a kindred spirit!
In 3-5 short years, your Aussie might calm down enough to lie in bed like this 😂 https://t.co/0ZbQqPBIlM","Twitter Web App",116,"x1431146004879978496","x222622997","NGhoussoub",FALSE,FALSE,5,0,,,,,,,,"http://pbs.twimg.com/media/E97FNJBXMAAaY2Z.jpg","https://t.co/0ZbQqPBIlM","https://twitter.com/JennyBryan/status/1431798678025539591/photo/1","photo","http://pbs.twimg.com/media/E97FNJBXMAAaY2Z.jpg","https://t.co/0ZbQqPBIlM","https://twitter.com/JennyBryan/status/1431798678025539591/photo/1",,"x222622997","NGhoussoub","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1431798678025539591","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1430903287327322116",2021-08-26 14:41:43,"JennyBryan","@stephhazlitt weird! I haven't personally seen that problem in a long time or heard of anyone having it -- glad I didn't remove that tip 😬","Twitter Web App",124,"x1430775138471923712","x415863443","stephhazlitt",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x415863443","stephhazlitt","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1430903287327322116","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1430636671259840527",2021-08-25 21:02:17,"JennyBryan","@daattali in normal times, you can do it by train or bus
I'm not sure about right now ... maybe not as so few people are able to cross, there's not enough demand?","Twitter Web App",152,"x1430632864857612295","x253791979","daattali",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x253791979","daattali","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1430636671259840527","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1430540006314160132",2021-08-25 14:38:10,"JennyBryan","@james_w_w_ @CarbonHealth Re: crossing into Canada, main advice is to take arranging the covid test very seriously. A month ago it was easy to get a rapid test near the border, but everything has changed with the current wave. No appts available and non-rapid tests are coming back verrrry slowwwwly.","Twitter Web App",274,"x1430388901328293896","x1119604302","jameswwilson_",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x723638119241670656","CarbonHealth","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1430540006314160132","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1430381829488525314",2021-08-25 04:09:38,"JennyBryan","Due to a family emergency, I’ve crossed 🇨🇦 🇺🇸 🇨🇦 on foot (!!!) in the past several days. Main takeaway: the border is not truly open, rapid molecular tests are not actually available in northern WA, but I eventually had a good experience testing with @CarbonHealth.","Twitter Web App",265,,,,FALSE,FALSE,56,3,,,,,,,,,,,,,,,,"x723638119241670656","CarbonHealth","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1430381829488525314","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1428744721782874113",2021-08-20 15:44:21,"JennyBryan","@hariseldon91 @Cghlewis @rstatstweet that webinar (row-oriented workflows) predated the re-invigoration of rowwise(), so don't take it as gospel

I think rowwise() is probably the preferred way to do this now, but there are multiple approaches that work","Twitter Web App",216,"x1428720297641975810","x126716794","hariseldon91",FALSE,FALSE,3,0,,,,,,,,,,,,,,,,"x126716794 x983008430674726918 x1011817655957893120","hariseldon91 Cghlewis rstatstweet","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1428744721782874113","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1428151436534181888",2021-08-19 00:26:50,"JennyBryan","@taraskaduk @benjystanton such strong pepper shaker / pepper packet vibes!","Twitter Web App",48,"x1428098880294490114","x788105434536214528","taraskaduk",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x788105434536214528 x18935403","taraskaduk benjystanton","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1428151436534181888","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
"x2167059661","x1427754957902696449",2021-08-17 22:11:23,"JennyBryan","RStudio Voices - Julia Silge
This is the first of the RStudio Voices series, meeting the people that make RStudio possible.
@juliasilge is a data scientist &amp; software engineer on RStudio’s #Tidymodels’ team, and maintains the #tidytext package. 
https://t.co/rRPe9ygtoc
#rstats https://t.co/pbgPZ9Uaq4","Twitter Web App",140,,,,FALSE,TRUE,0,23,,,,,,,,,,,,,,,,"x235261861","rstudio","en",,,,,,,,,,,,,,,,"x1427183110236614658","RStudio Voices - Julia Silge
This is the first of the RStudio Voices series, meeting the people that make RStudio possible.
@juliasilge is a data scientist &amp; software engineer on RStudio’s #Tidymodels’ team, and maintains the #tidytext package. 
https://t.co/rRPe9ygtoc
#rstats https://t.co/pbgPZ9Uaq4",2021-08-16 08:19:03,"Buffer",108,23,"x235261861","rstudio","RStudio",120836,623,2725,"Boston","Open source and enterprise-ready professional software for data science teams using R and Python.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/JennyBryan/status/1427754957902696449","Jenny Bryan","Vancouver, BC","Software engineer @rstudio, humane #rstats, adjunct prof @UBC where I created @STAT545, part of @ropensci, she/her","https://t.co/sEy63FLvY2",FALSE,34935,653,941,13758,32794,2013-10-31 18:32:37,TRUE,"https://t.co/sEy63FLvY2","https://jennybryan.org",,"https://pbs.twimg.com/profile_banners/2167059661/1611015960","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1351323614696464386/emJb3_ol_normal.jpg"
