"list_id","name","uri","subscriber_count","member_count","mode","description","slug","full_name","created_at","following"
"x1432866642602700802","Covid","/esperto007/lists/1432866642602700802",0,7,"public","","1432866642602700802","@esperto007/1432866642602700802",2021-09-01 00:43:23,FALSE
"x1432865076432838660","Politics","/esperto007/lists/1432865076432838660",1,67,"public","","1432865076432838660","@esperto007/1432865076432838660",2021-09-01 00:37:10,FALSE
"x1432792720167391232","@tweetsauce / @Twubbler","/yxwui/lists/1432792720167391232",1,623,"public","Who @tweetsauce followed as of Aug 31 2021. Limited to 1000 randomly. -- Generated by @Twubbler","1432792720167391232","@yxwui/1432792720167391232",2021-08-31 19:49:39,FALSE
"x1432198998236880897","Politics","/Kevin0Connor/lists/1432198998236880897",0,50,"public","","1432198998236880897","@Kevin0Connor/1432198998236880897",2021-08-30 04:30:24,FALSE
"x1431609201650909193","All","/Groucho_AK/lists/1431609201650909193",0,98,"public","","1431609201650909193","@Groucho_AK/1431609201650909193",2021-08-28 13:26:46,FALSE
"x1431607982207426568","Politics & News","/lostidolsco/lists/1431607982207426568",0,18,"public","","1431607982207426568","@lostidolsco/1431607982207426568",2021-08-28 13:21:55,FALSE
"x1431248326004023296","ObjectiveNews","/zunran/lists/1431248326004023296",0,38,"public","","1431248326004023296","@zunran/1431248326004023296",2021-08-27 13:32:46,FALSE
"x1430987102129434629","National","/redknits/lists/1430987102129434629",1,33,"public","","1430987102129434629","@redknits/1430987102129434629",2021-08-26 20:14:46,FALSE
"x1430866668583071745","B","/az_shanbe/lists/1430866668583071745",0,11,"public","","1430866668583071745","@az_shanbe/1430866668583071745",2021-08-26 12:16:12,FALSE
"x1430832603121258498","Resisters ¦ Big","/c_tomstone/lists/1430832603121258498",14,843,"public","","1430832603121258498","@c_tomstone/1430832603121258498",2021-08-26 10:00:50,FALSE
"x1430817173489000448","US politics","/joakimsr91/lists/1430817173489000448",0,4,"public","","1430817173489000448","@joakimsr91/1430817173489000448",2021-08-26 08:59:32,FALSE
"x1430729785018363905","VeepsPeepsCivicsExplained","/Geechee4Kamala/lists/1430729785018363905",10,451,"public","News on POTUS, MVPHarris, coalition data, midterms, redistricting, political history & demographics","1430729785018363905","@Geechee4Kamala/1430729785018363905",2021-08-26 03:12:17,FALSE
"x1430705300617584640","Quant Finance","/KyleSchultz90/lists/1430705300617584640",3,56,"public","","1430705300617584640","@KyleSchultz90/1430705300617584640",2021-08-26 01:34:59,FALSE
"x1430637890749485057","1","/glt60/lists/1430637890749485057",0,6,"public","","1430637890749485057","@glt60/1430637890749485057",2021-08-25 21:07:07,FALSE
"x1430607804608483337","News/Politics","/billypilgrimis/lists/1430607804608483337",0,3,"public","","1430607804608483337","@billypilgrimis/1430607804608483337",2021-08-25 19:07:34,FALSE
"x1430567795595546626","ptx","/rodzyrodz/lists/1430567795595546626",1,69,"public","","1430567795595546626","@rodzyrodz/1430567795595546626",2021-08-25 16:28:35,FALSE
"x1429844464739225602","Health","/nakul66097760/lists/1429844464739225602",0,4,"public","","1429844464739225602","@nakul66097760/1429844464739225602",2021-08-23 16:34:20,FALSE
