"screen_name","word","n","total","freq"
"vgamereviewbot","complete",119,745,0.159731543624161
"vgamereviewbot","lego",119,745,0.159731543624161
"vgamereviewbot","saga",119,745,0.159731543624161
"vgamereviewbot","star",119,745,0.159731543624161
"vgamereviewbot","wars",119,745,0.159731543624161
"BrickSetSearch","star",108,2439,0.044280442804428
"BrickSetSearch","wars",102,2439,0.041820418204182
"BrickSetSearch","#bricks",99,2439,0.040590405904059
"BrickSetSearch","#lego",99,2439,0.040590405904059
"BrickSetSearch","#searchncollect",99,2439,0.040590405904059
"BrickSetSearch","view",99,2439,0.040590405904059
"BrickSetSearch","lego",97,2439,0.039770397703977
"BrickSetSearch","#starwars",93,2439,0.038130381303813
"BrickSetSearch","#bricksetsearch",83,2439,0.034030340303403
"BrickSetSearch","amp",81,2439,0.033210332103321
"BrickSetSearch","#auction",78,2439,0.031980319803198
"BrickSetSearch","#ebay",78,2439,0.031980319803198
"BrickSetSearch","collect",78,2439,0.031980319803198
"BrickSetSearch","ebay",78,2439,0.031980319803198
"BrickSetSearch","info",78,2439,0.031980319803198
"BrickSetSearch","search",78,2439,0.031980319803198
"LEGOStarWarsS2","lego",59,622,0.0948553054662379
"XenaGifts","ad",57,610,0.0934426229508197
"XenaGifts","lego",57,610,0.0934426229508197
"XenaGifts","star",57,610,0.0934426229508197
"XenaGifts","wars",57,610,0.0934426229508197
"LEGOStarWarsS2","wars",55,622,0.0884244372990354
"LEGOStarWarsS2","star",52,622,0.0836012861736334
"vgamereviewbot","bad",51,745,0.0684563758389262
"puledo","https://t.co/4vdtqwoswf",33,132,0.25
"BuildingToys1","ebay",32,352,0.0909090909090909
"BuildingToys1","lego",32,352,0.0909090909090909
"BuildingToys1","star",32,352,0.0909090909090909
"BuildingToys1","wars",32,352,0.0909090909090909
"vgamereviewbot","pretty",30,745,0.0402684563758389
"LEGOStarWarsS2","game",29,622,0.0466237942122186
"BrickSetSearch","#unitedstates",26,2439,0.010660106601066
"BrickSetSearch","#us",26,2439,0.010660106601066
"StarWarsInforms","wars",26,198,0.131313131313131
"BitchinLego","lego",25,258,0.0968992248062016
"BitchinLego","star",25,258,0.0968992248062016
"BitchinLego","wars",25,258,0.0968992248062016
"vgamereviewbot","kinda",25,745,0.0335570469798658
"vgamereviewbot","sorta",25,745,0.0335570469798658
"StarWarsInforms","lego",24,198,0.121212121212121
"BrickSetSearch","#ad",21,2439,0.00861008610086101
"BrickSetSearch","#amazon",21,2439,0.00861008610086101
"BrickSetSearch","#gb",21,2439,0.00861008610086101
"BrickSetSearch","#unitedkingdom",21,2439,0.00861008610086101
"BrickSetSearch","amazon",21,2439,0.00861008610086101
"BrickSetSearch","building",21,2439,0.00861008610086101
"justxavier2004","star",21,163,0.128834355828221
"justxavier2004","wars",21,163,0.128834355828221
"StarWarsInforms","star",21,198,0.106060606060606
"BrickSetSearch","#sealed",20,2439,0.00820008200082001
"BrickSetSearch","#de",19,2439,0.00779007790077901
"BrickSetSearch","#germany",19,2439,0.00779007790077901
"LEGOStarWarsS2","skywalker",19,622,0.0305466237942122
"XenaGifts","sealed",19,610,0.0311475409836066
"BrickSetSearch","sealed",18,2439,0.00738007380073801
"empirisch2","wars",18,149,0.120805369127517
"LEGOStarWarsS2","saga",18,622,0.0289389067524116
"BrickSetSearch","kit",17,2439,0.00697006970069701
"justxavier2004","lego",17,163,0.104294478527607
"BitchinLego","skywalker",16,258,0.062015503875969
"Ccero95257539","lego",16,112,0.142857142857143
"BrickFanatics","lego",15,241,0.0622406639004149
"andrearweir","check",14,68,0.205882352941176
"BrickSetSearch","ucs",14,2439,0.00574005740057401
"PS5only","#ad",14,184,0.0760869565217391
"PS5only","amazon",14,184,0.0760869565217391
"PS5only","lego",14,184,0.0760869565217391
"PS5only","ps5",14,184,0.0760869565217391
"PS5only","saga",14,184,0.0760869565217391
"PS5only","skywalker",14,184,0.0760869565217391
"PS5only","star",14,184,0.0760869565217391
"PS5only","wars",14,184,0.0760869565217391
"andrearweir","ebay",13,68,0.191176470588235
"bargains_brick","wars",13,317,0.0410094637223975
"BrickFanatics","#lego",13,241,0.0539419087136929
"BrickFanatics","#legostarwars",13,241,0.0539419087136929
"BrickFanatics","star",13,241,0.0539419087136929
"BrickFanatics","wars",13,241,0.0539419087136929
"LEGOStarWarsS2","games",13,622,0.0209003215434084
"StarWarsToysan1","lego",13,154,0.0844155844155844
"StarWarsToysan1","star",13,154,0.0844155844155844
"StarWarsToysan1","wars",13,154,0.0844155844155844
