"from","to","type"
"252203607","28686884","mention"
"252203607","894821573483515904","mention"
"252203607","819341370","mention"
"252203607","334180397","mention"
"252203607","884682737067724800","mention"
"252203607","1219530957402923008","mention"
"252203607","533384047","mention"
"252203607","848976298303266816","mention"
"252203607","619226328","mention"
"252203607","28686884","mention"
"252203607","317728593","mention"
"252203607","397093218","mention"
"252203607","1379801707","mention"
"252203607","2193727045","mention"
"252203607","974425245208608768","mention"
"252203607","3054417281","mention"
"252203607","2766905877","mention"
"252203607","1275993326","mention"
"1090044774","334180397","mention"
"362361533","2493809136","mention"
"362361533","1092833476947132417","mention"
"362361533","2542132494","mention"
"362361533","31792400","mention"
"1925893129","701295278","mention"
"1925893129","206255645","mention"
"1925893129","4171774978","mention"
"1925893129","455505094","mention"
"1925893129","2193727045","mention"
"1925893129","701295278","mention"
"28686884","1109786346946744322","mention"
"28686884","701295278","mention"
"701295278","1164814206","mention"
"701295278","455505094","mention"
"701295278","1925893129","mention"
"829694822","1164814206","mention"
"829694822","701295278","mention"
"829694822","1109786346946744322","mention"
"1260246892132401153","906638953","mention"
"1260246892132401153","732141019114930176","mention"
"1260246892132401153","1925893129","mention"
"1260246892132401153","42886079","mention"
"1260246892132401153","104849636","mention"
"1260246892132401153","1280984599","mention"
"1260246892132401153","946600818","mention"
"1260246892132401153","50069007","mention"
"145751273","1208408780","mention"
"145751273","950759411978555392","mention"
"145751273","20427376","mention"
"145751273","935468755076964352","mention"
"1662711277","180050582","mention"
"1662711277","2157182570","mention"
"1662711277","180050582","mention"
"1662711277","763351919796613120","mention"
"1164814206","1062371837567483904","mention"
"1164814206","4922659812","mention"
"1164814206","1262165195469668352","mention"
"1164814206","2239221307","mention"
"1164814206","2239221307","mention"
"992085643","49733413","mention"
"992085643","1472407429","mention"
"992085643","60642183","mention"
"992085643","66793258","mention"
"709595678171860992","2425943791","mention"
"709595678171860992","1694576978","mention"
"709595678171860992","563556601","mention"
"309310257","14159148","mention"
"309310257","18358227","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","1086212927290572800","mention"
"309310257","66998204","mention"
"309310257","40010267","mention"
"309310257","561241979","mention"
"309310257","37390101","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","901622635","mention"
"309310257","2670099200","mention"
"309310257","2681166800","mention"
"309310257","836911639693836288","mention"
"309310257","561241979","mention"
"309310257","561241979","mention"
"309310257","4695850939","mention"
"309310257","561241979","mention"
"309310257","1960370958","mention"
"309310257","4873999283","mention"
"309310257","2811296941","mention"
"309310257","33216841","mention"
"309310257","1084813600722767873","mention"
"309310257","719897073173323778","mention"
"309310257","2690090863","mention"
"309310257","561241979","mention"
"309310257","1176769088179363840","mention"
"94588684","2646052658","mention"
"94588684","1241675631559086080","mention"
"94588684","719237709227757568","mention"
"94588684","1192370197245693952","mention"
"94588684","133738475","mention"
"3201078141","1113416200820862976","mention"
"3201078141","80573817","mention"
"946600818","5988062","mention"
"946600818","983442504870694913","mention"
"946600818","1010730619448377346","mention"
"946600818","1191974420","mention"
"946600818","890304274315522051","mention"
"946600818","169236725","mention"
"946600818","1280984599","mention"
"946600818","3295574960","mention"
"946600818","529581527","mention"
"946600818","992085643","mention"
"946600818","2472206146","mention"
"946600818","732266449","mention"
"946600818","574556841","mention"
"946600818","769489344","mention"
"946600818","18346195","mention"
"946600818","1925893129","mention"
"946600818","2436306686","mention"
"946600818","757477994487160832","mention"
"946600818","933506360","mention"
"946600818","94588684","mention"
"946600818","951691614","mention"
"946600818","320767690","mention"
"946600818","1320073663","mention"
"946600818","2323255908","mention"
"946600818","334180397","mention"
"946600818","415818235","mention"
"946600818","983442504870694913","mention"
"946600818","983442504870694913","mention"
