"trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at"
"Texas","http://twitter.com/search?q=Texas",,"Texas",910236,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"#ADayOffTwitch","http://twitter.com/search?q=%23ADayOffTwitch",,"%23ADayOffTwitch",95937,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"#WomensWorlds","http://twitter.com/search?q=%23WomensWorlds",,"%23WomensWorlds",16410,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"#onpoli","http://twitter.com/search?q=%23onpoli",,"%23onpoli",13349,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Ontario","http://twitter.com/search?q=Ontario",,"Ontario",42581,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Jungkook","http://twitter.com/search?q=Jungkook",,"Jungkook",1624382,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Marie-Philip Poulin","http://twitter.com/search?q=%22Marie-Philip+Poulin%22",,"%22Marie-Philip+Poulin%22",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"#VaccinePassports","http://twitter.com/search?q=%23VaccinePassports",,"%23VaccinePassports",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"#skstorm","http://twitter.com/search?q=%23skstorm",,"%23skstorm",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Kimi","http://twitter.com/search?q=Kimi",,"Kimi",72302,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Baal","http://twitter.com/search?q=Baal",,"Baal",205291,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Don Cherry","http://twitter.com/search?q=%22Don+Cherry%22",,"%22Don+Cherry%22",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"My MJ","http://twitter.com/search?q=%22My+MJ%22",,"%22My+MJ%22",99989,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Feds","http://twitter.com/search?q=Feds",,"Feds",10337,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Sara","http://twitter.com/search?q=Sara",,"Sara",180021,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Raj Saini","http://twitter.com/search?q=%22Raj+Saini%22",,"%22Raj+Saini%22",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"zendaya","http://twitter.com/search?q=zendaya",,"zendaya",163216,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Dvorak","http://twitter.com/search?q=Dvorak",,"Dvorak",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Happy New Month","http://twitter.com/search?q=%22Happy+New+Month%22",,"%22Happy+New+Month%22",86505,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Hertl","http://twitter.com/search?q=Hertl",,"Hertl",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Lyndsay","http://twitter.com/search?q=Lyndsay",,"Lyndsay",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"YouTube Gaming","http://twitter.com/search?q=%22YouTube+Gaming%22",,"%22YouTube+Gaming%22",11084,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Alerte Amber","http://twitter.com/search?q=%22Alerte+Amber%22",,"%22Alerte+Amber%22",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Simmons","http://twitter.com/search?q=Simmons",,"Simmons",64523,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Cam Newton","http://twitter.com/search?q=%22Cam+Newton%22",,"%22Cam+Newton%22",44560,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Overcooked","http://twitter.com/search?q=Overcooked",,"Overcooked",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Ontarians","http://twitter.com/search?q=Ontarians",,"Ontarians",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Lupo","http://twitter.com/search?q=Lupo",,"Lupo",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Captain Canada","http://twitter.com/search?q=%22Captain+Canada%22",,"%22Captain+Canada%22",,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Griezmann","http://twitter.com/search?q=Griezmann",,"Griezmann",390432,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
"Mac Jones","http://twitter.com/search?q=%22Mac+Jones%22",,"%22Mac+Jones%22",29357,"Vancouver",9807,2021-09-01 18:20:18,2021-08-26 04:26:15
