"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x208301555","x1433124597881131010",2021-09-01 17:48:24,"annapurani93","@El_Dabrah @makeover_monday @tableaupublic @tableau Thank you!","Twitter for Android",10,"x1433121814868267016","x1413187980504731649","El_Dabrah",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1413187980504731649 x1306809755248275456 x519769200 x14792516","El_Dabrah makeover_monday tableaupublic tableau","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1433124597881131010","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1433111113294495749",2021-09-01 16:54:49,"annapurani93","@saffrontrail A little bit of knitting, a little bit of crochet. My mother's business. She doesn't have an Instagram page, so I thought I'd share the pictures. https://t.co/CL1fJfLAXc","Twitter for Android",145,"x1432996775632117762","x21453226","saffrontrail",FALSE,FALSE,2,0,,,,,,,,"http://pbs.twimg.com/media/E-NuounUUAIywQj.jpg","https://t.co/CL1fJfLAXc","https://twitter.com/annapurani93/status/1433111113294495749/photo/1","photo","http://pbs.twimg.com/media/E-NuounUUAIywQj.jpg http://pbs.twimg.com/media/E-Nuu52VQAQ-E09.jpg http://pbs.twimg.com/media/E-Nu2PbVkAgRnvR.jpg http://pbs.twimg.com/media/E-Nu9eeVcAIb-eN.jpg","https://t.co/CL1fJfLAXc https://t.co/CL1fJfLAXc https://t.co/CL1fJfLAXc https://t.co/CL1fJfLAXc","https://twitter.com/annapurani93/status/1433111113294495749/photo/1 https://twitter.com/annapurani93/status/1433111113294495749/photo/1 https://twitter.com/annapurani93/status/1433111113294495749/photo/1 https://twitter.com/annapurani93/status/1433111113294495749/photo/1",,"x21453226","saffrontrail","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1433111113294495749","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1433106353233350656",2021-09-01 16:35:55,"annapurani93","Here's my viz for #makeovermonday 2021 Week 35 on estimation of global male circumcision.

Link to my interactive:
https://t.co/QllZK5Q7bt

Feedback much appreciated 🍀

#dataviz #tableau #DataFam #RStats https://t.co/CDz6UnXSEJ","Twitter for Android",203,,,,FALSE,FALSE,6,3,,,"makeovermonday dataviz tableau DataFam RStats",,"public.tableau.com/app/profile/an…","https://t.co/QllZK5Q7bt","https://public.tableau.com/app/profile/annapurani.vaidyanathan/viz/MaleCircumcision_16304797790180/Dashboard1","http://pbs.twimg.com/media/E-Nqoc3UUAUSWay.jpg","https://t.co/CDz6UnXSEJ","https://twitter.com/annapurani93/status/1433106353233350656/photo/1","photo","http://pbs.twimg.com/media/E-Nqoc3UUAUSWay.jpg","https://t.co/CDz6UnXSEJ","https://twitter.com/annapurani93/status/1433106353233350656/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1433106353233350656","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1433092697313583110",2021-09-01 15:41:39,"annapurani93","@rmnth @nvsharadha And store it in porcelain jars so they come in handy on a rainy day 😛","Twitter for Android",69,"x1433085883633131521","x16362021","rmnth",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x16362021 x92914000","rmnth nvsharadha","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1433092697313583110","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1433022973129097218",2021-09-01 11:04:35,"annapurani93","Byju's is a titan of the Indian ed-tech market, and its flagship program, The Learning App, has 40m users and 2.8m paid subscribers; its valuation is about to climb to $21b; it's been on a spending spree, buying up competitors in Asia and the USA.

1/ https://t.co/S4MdZD6QvA","Twitter for Android",140,,,,FALSE,TRUE,0,1734,,,,,,,,,,,,,,,,"x2729061","doctorow","en",,,,,,,,,,,,,,,,"x1432383405556047873","Byju's is a titan of the Indian ed-tech market, and its flagship program, The Learning App, has 40m users and 2.8m paid subscribers; its valuation is about to climb to $21b; it's been on a spending spree, buying up competitors in Asia and the USA.

1/ https://t.co/S4MdZD6QvA",2021-08-30 16:43:10,"Twitter Web App",2829,1734,"x2729061","doctorow","Cory Doctorow",467878,2211,357368,"Beautiful Downtown Burbank","Author, journalist, activist. My latest is ATTACK SURFACE https://t.co/Tqg2M6lqri Books: https://t.co/bRVgxZt5np Blog: https://t.co/MWQJRnPOIy.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1433022973129097218","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1432774122858188803",2021-08-31 18:35:45,"annapurani93","@liz_data Woah! This looks amazing!","Twitter for Android",25,"x1432743819393523714","x1409831544068378637","liz_data",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1409831544068378637","liz_data","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1432774122858188803","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1432748023130451970",2021-08-31 16:52:02,"annapurani93","Here's the link to my code - 
#RStats 
https://t.co/WSKhJb9lZb","Twitter Web App",62,"x1432746856530857987","x208301555","annapurani93",FALSE,FALSE,2,2,,,"RStats",,"github.com/Annapurani93/C…","https://t.co/WSKhJb9lZb","https://github.com/Annapurani93/Cherry-Blossom-through-generative-art",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1432748023130451970","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1432746856530857987",2021-08-31 16:47:24,"annapurani93","In today's attempt at #generativeArt in #RStudio, I present to you cherry blossom trees in the ""Land of the Rising Sun""🌸

#RStats #ggplot2 #tidyverse https://t.co/EUkyrmks1u","Twitter Web App",149,,,,FALSE,FALSE,10,2,,,"generativeArt RStudio RStats ggplot2 tidyverse",,,,,"http://pbs.twimg.com/media/E-IjgnUUYAgZwqh.png","https://t.co/EUkyrmks1u","https://twitter.com/annapurani93/status/1432746856530857987/photo/1","photo","http://pbs.twimg.com/media/E-IjgnUUYAgZwqh.png","https://t.co/EUkyrmks1u","https://twitter.com/annapurani93/status/1432746856530857987/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1432746856530857987","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1432687166774071300",2021-08-31 12:50:13,"annapurani93","This year I've read about a dozen books on data visualization and data science. 

Part of that effort was to prepare for graduate school, but I was also looking to identify helpful books for work colleagues. 

This is a thread about those books...

📚 --&gt; 📘 --&gt; 📖","Twitter for Android",140,,,,FALSE,TRUE,0,165,,,,,,,,,,,,,,,,"x2544890930","comstockery","en",,,,,,,,,,,,,,,,"x1432139055752523778","This year I've read about a dozen books on data visualization and data science. 

Part of that effort was to prepare for graduate school, but I was also looking to identify helpful books for work colleagues. 

This is a thread about those books...

📚 --&gt; 📘 --&gt; 📖",2021-08-30 00:32:13,"Twitter Web App",973,165,"x2544890930","comstockery","Owen Comstock",371,255,1276,"Washington, DC","editor, analyst, and product lead of Today in Energy @EIAgov; well-practiced amateur of data visualization; always plotting something 📈📈📈",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1432687166774071300","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
"x208301555","x1432654461726445569",2021-08-31 10:40:15,"annapurani93","@evelinajud Congratulations! I look up to you and to your work SO much ❤️","Twitter for Android",61,"x1432650192168394760","x617291546","evelinajud",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x617291546","evelinajud","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/annapurani93/status/1432654461726445569","Annapurani","Chennai, India","Data analyst @businessline. Electronics & instrumentation engineer. Coder. Blogger. Enjoy poetry, fiction, physics and music. ❤️ @rogerfederer.","https://t.co/MBIWrCWvQS",FALSE,763,219,21,21022,23474,2010-10-27 01:15:10,FALSE,"https://t.co/MBIWrCWvQS","https://bit.ly/3hOLVU3",,"https://pbs.twimg.com/profile_banners/208301555/1585247388","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1413758643955138564/cVE7JHkR_normal.jpg"
