"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x516041757","x1433121789899464705",2021-09-01 17:37:15,"MichelleKoon1","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter Web App",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MichelleKoon1/status/1433121789899464705","Michelle Koon","Marysville, WA","I'm interested in my beloved, #gardening, #tarot, #herbal #medicine, #anime/ #manga, all things #Japanese, #steampunk, #Sims4, & keeping up w/ the #news.😺",,FALSE,163,426,1,13067,6357,2012-03-06 01:01:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/516041757/1555911454","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1268251074227392512/2d9yOPOW_normal.jpg"
"x43800138","x1433121285991583744",2021-09-01 17:35:15,"jrh1068","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for iPhone",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jrh1068/status/1433121285991583744","Janice Hennessy (She, Her, Hers)","Tucson, AZ","Daughter, Proud Mom , Friend, Advocate, Atheist, proud Pete Buttigieg supporter! She/Her/Hers",,FALSE,352,1631,1,8490,9018,2009-06-01 01:34:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/43800138/1621276064","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1394358990629261312/C9nqrcX5_normal.jpg"
"x2412182627","x1433121194283343875",2021-09-01 17:34:53,"lucasmaya185","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for Android",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lucasmaya185/status/1433121194283343875","Maya Lucas","","I love to travel, read books,  listen to music,  and try new things.  I have a wide variety of interests in my life.",,FALSE,442,2487,12,8528,80396,2014-03-15 08:11:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/2412182627/1397422197","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/455447652810104833/fpkIPNub_normal.jpeg"
"x1335014505999265793","x1433120988883943425",2021-09-01 17:34:04,"RyanWhittick","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for iPhone",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RyanWhittick/status/1433120988883943425","ryan whittick","Los Angeles, CA","Doctor 👨‍⚕️, Lawyer, God!!!",,FALSE,83,176,0,12265,9619,2020-12-05 00:14:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1335014505999265793/1611701083",,"http://pbs.twimg.com/profile_images/1415906269932621825/TYP-_X9u_normal.jpg"
"x802025356408426496","x1433119848775569408",2021-09-01 17:29:32,"AdityaGoraksha2","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for Android",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AdityaGoraksha2/status/1433119848775569408","Aditya G. Ghabade","Talegaon Dabhade, India","techy | memer | photographer",,FALSE,120,361,1,41030,37488,2016-11-25 05:45:20,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1399392521336147970/621YLFsW_normal.jpg"
"x14803485","x1433118567814291457",2021-09-01 17:24:27,"Lalander","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter Web App",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Lalander/status/1433118567814291457","Daniel Lalander","Stockholm, Sweden","Jag hatar orättvisor.",,FALSE,467,1233,8,95187,140174,2008-05-16 20:11:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/14803485/1353189506","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/722486493399367680/Wp4tqjrq_normal.jpg"
"x3298996013","x1433118552635101194",2021-09-01 17:24:23,"st_acosta27","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter Web App",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/st_acosta27/status/1433118552635101194","Steven A. Acosta","Latinoamérica","Doomster, nihilista, lovecraftiano y amante de los gatos.
Marxista, Internacionlista, Lumpemproletario.
Fanático de la mejor lucha Libre, CMLL💪🏾👊🏾","https://t.co/WjVDNaXeEL",FALSE,100,674,1,5386,28003,2015-05-26 09:16:17,FALSE,"https://t.co/WjVDNaXeEL","https://dominicrojas.tumblr.com/",,"https://pbs.twimg.com/profile_banners/3298996013/1432633189","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/603128748972507136/-l68Ep9R_normal.jpg"
"x137512422","x1433118443474075648",2021-09-01 17:23:57,"nebulouswonder","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter Web App",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nebulouswonder/status/1433118443474075648","That Texas Mom","NTX","Vaxxed, masked and full of crass.

One half hillbilly and one half punk.
Bi mom to fully grown trans & NB young adults I love.
Trauma survivor.",,FALSE,1241,2056,93,116549,164754,2010-04-26 23:52:40,FALSE,,,,"https://pbs.twimg.com/profile_banners/137512422/1604326214","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1222364816595128321/3V81thzj_normal.jpg"
"x733035156638957571","x1433117820099993604",2021-09-01 17:21:29,"PatoTotal","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for Android",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PatoTotal/status/1433117820099993604","Pablo Pérez","Alicante, España","Él. Hablo de videojocs y un poco de lo que me venga en gana.",,FALSE,31,133,0,17770,29127,2016-05-18 20:42:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/733035156638957571/1559698033","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1424106694087483395/S8LEcC9s_normal.jpg"
"x2175295212","x1433117658514403341",2021-09-01 17:20:50,"meowmeowsamurai","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d","Twitter for iPhone",,,,,FALSE,TRUE,0,11,,,,,,,,,,,,,,,,"x19402238","ScienceNews","en",,,,,,,,,,,,,,,,"x1433117508853186569","Puberty blockers aren’t new and not exclusive to transgender youth. But to those kids, they can be a lifeline. 
 https://t.co/WLThrWhm4d",2021-09-01 17:20:14,"SocialNewsDesk",22,11,"x19402238","ScienceNews","Science News",3987016,598,60470,"Washington, DC","Covering the latest news in all fields of science. Tweets by @ThatMikeDenison and @wwrfd. Publisher @society4science. See also @SNStudents.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/meowmeowsamurai/status/1433117658514403341","Tyson Raxter ✝️🏳️‍⚧️","College Station, TX","👍🏻gig ‘em 2024📚|💉03.31.2020💉|💚achillean💙|🌱ag comm🐮|🐴horse boy🐎|💛🦔🖤|☕️ https://t.co/PbgDAjTlJC #blacklivesmatter #btlm #stopasianhate","https://t.co/UyB7pnb9Lk",FALSE,230,1969,2,11265,42903,2013-11-05 03:56:12,FALSE,"https://t.co/UyB7pnb9Lk","http://andrewgtraxter.com",,"https://pbs.twimg.com/profile_banners/2175295212/1623290880","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1408190836035174410/Z0IGR4i2_normal.jpg"
