"created_at","status_id","text","truncated","source","status_in_reply_to_status_id","status_in_reply_to_user_id","in_reply_to_screen_name","geo","coordinates","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang","possibly_sensitive","status_quoted_status_id"
2021-09-01 19:57:58,"x1433157202492235776","@StarTrek_Lt That'd be awesome! I look forward to having you attend the stream",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1433130130222682117","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-09-01 17:34:20,"x1433121056114479108","@StarTrek_Lt wow thanks! I love this image.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1433113337164746754","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-09-01 15:26:41,"x1433088930077937674","@StarTrek_Lt The building with the green roof is an Art Deco beauty for sure. https://t.co/4a3it9eHI2",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1433088675282178051","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",FALSE,
2021-09-01 01:35:24,"x1432879732278927360","@StarTrek_Lt science is a liar sometimes",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432850092688510980","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-31 23:33:59,"x1432849177986404352","@StarTrek_Lt Of course the project can be slow in fits and starts! But engaged folks like you and @anushka_kurian give me hope.",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432848271219691525","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,FALSE,FALSE,"en",,
2021-08-31 23:13:14,"x1432843957155897348","@StarTrek_Lt I may actually consider this! Great idea - thank you!",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432841873316483073","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-31 21:27:58,"x1432817462316306439","@savostrowski @StarTrek_Lt Latest Python 2, with giant warning and latest Python 3.9.",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1432810918920867843","x311229270","savostrowski",,,,FALSE,0,1,FALSE,FALSE,"en",,
2021-08-31 21:24:31,"x1432816596863655939","@StarTrek_Lt @savostrowski Please do not use this. It’s unsupported.",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432810248935383043","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-31 21:01:58,"x1432810918920867843","@StarTrek_Lt What version comes default on the latest MacOS version?",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1432810248935383043","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,FALSE,FALSE,"en",,
2021-08-31 20:04:26,"x1432796442070970371","@StarTrek_Lt That’s cool. I will try plant and bug based foods at least once in a while to encourage the industry t… https://t.co/CkMqWyiYxM",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432794670623461378","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-31 19:55:36,"x1432794217256873986","@StarTrek_Lt That’s neat. I’m actually going to look for these at Superstore now.",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432758361255071750","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-31 19:40:51,"x1432790506715684871","@StarTrek_Lt @rstatstweet Oh no—you can still use the magrittr pipe! On the contrary, the |&gt; pipe has been added as… https://t.co/jHWnIOnJE7",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1432789812507934722","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
