"list_id","name","uri","subscriber_count","member_count","mode","description","slug","full_name","created_at","following"
"x1431195216439021568","data","/neregauzak/lists/1431195216439021568",0,87,"public","","1431195216439021568","@neregauzak/1431195216439021568",2021-08-27 10:01:44,FALSE
"x1427974471441321989","R","/RyanAhern411/lists/1427974471441321989",0,23,"public","","1427974471441321989","@RyanAhern411/1427974471441321989",2021-08-18 12:43:39,FALSE
"x1427638173316833285","DataViz","/Liching_hoe/lists/1427638173316833285",0,19,"public","","1427638173316833285","@Liching_hoe/1427638173316833285",2021-08-17 14:27:19,FALSE
"x1421225090360832001","R programming","/pydemullenheim/lists/1421225090360832001",0,7,"public","","1421225090360832001","@pydemullenheim/1421225090360832001",2021-07-30 21:44:01,FALSE
"x1420057001762205702","DataViz","/zarfideli/lists/1420057001762205702",0,36,"public","","1420057001762205702","@zarfideli/1420057001762205702",2021-07-27 16:22:27,FALSE
"x1415567476385935363","R Stuff","/harshbutjust/lists/1415567476385935363",273,87,"public","Helpful tips about R","1415567476385935363","@harshbutjust/1415567476385935363",2021-07-15 07:02:40,FALSE
"x1413794405769568258","R","/ankitdhoot0123/lists/1413794405769568258",0,16,"public",".","1413794405769568258","@ankitdhoot0123/1413794405769568258",2021-07-10 09:37:08,FALSE
"x1412696193495449600","Data Viz - R","/TAPolise/lists/1412696193495449600",1,46,"public","","1412696193495449600","@TAPolise/1412696193495449600",2021-07-07 08:53:13,FALSE
"x1411848580973932544","useR2021","/Elsa_qr/lists/1411848580973932544",17,58,"public","useR2021 #Rstats","1411848580973932544","@Elsa_qr/1411848580973932544",2021-07-05 00:45:07,TRUE
"x1411520651249213446","R","/silverities/lists/1411520651249213446",0,15,"public","","1411520651249213446","@silverities/1411520651249213446",2021-07-04 03:02:02,FALSE
"x1409973291331293184","dataviz","/ceciliadolago/lists/1409973291331293184",0,2,"public","pessoas do Brasil e do mundo que trazem inovações em visualização de dados","1409973291331293184","@ceciliadolago/1409973291331293184",2021-06-29 20:33:23,FALSE
"x1409633111298641923","rstats","/owenlhjphillips/lists/1409633111298641923",117,18,"public","","1409633111298641923","@owenlhjphillips/1409633111298641923",2021-06-28 22:01:38,TRUE
"x1401650367583117318","R stuff","/IamJessClark/lists/1401650367583117318",0,1,"public","","1401650367583117318","@IamJessClark/1401650367583117318",2021-06-06 21:21:03,FALSE
"x1401634513491464192","R","/kiki_nomikou/lists/1401634513491464192",0,8,"public","","1401634513491464192","@kiki_nomikou/1401634513491464192",2021-06-06 20:18:03,FALSE
"x1400691364292141057","renv","/mpoudyal/lists/1400691364292141057",1,52,"public","all things R-related","1400691364292141057","@mpoudyal/1400691364292141057",2021-06-04 05:50:19,FALSE
"x1398177798674657290","Data","/DavidPardoB/lists/1398177798674657290",17,84,"public","","1398177798674657290","@DavidPardoB/1398177798674657290",2021-05-28 07:22:18,FALSE
"x1394358169086808064","Statistik","/Veit_Wizemann/lists/statistik-16855",0,33,"public","","statistik-16855","@Veit_Wizemann/statistik-16855",2021-05-17 18:24:28,FALSE
"x1390663924488486915","Data Visualization","/ormorteey/lists/data-visualization-13675",0,19,"public","Data Visualization in R and Python","data-visualization-13675","@ormorteey/data-visualization-13675",2021-05-07 13:44:51,FALSE
"x1387234310059565060","R","/shivrajc/lists/r-17128",0,42,"public","R Programming and Data Visualization","r-17128","@shivrajc/r-17128",2021-04-28 02:36:47,FALSE
"x1387034547909496834","🧐🧐🧐","/luobingher/lists/museos-centros-culturales-79052",0,100,"public","","museos-centros-culturales-79052","@luobingher/museos-centros-culturales-79052",2021-04-27 13:23:00,FALSE
"x1385300131998797827","SOFTWARE","/BWHildebrandt/lists/software-19274",1,16,"public","","software-19274","@BWHildebrandt/software-19274",2021-04-22 18:31:03,FALSE
"x1385090604120555530","R Stats humanities","/alissonmasoares/lists/r-stats-humanities-69038",2,66,"public","A list about R topics, data science, trying to focus more on humanities.","r-stats-humanities-69038","@alissonmasoares/r-stats-humanities-69038",2021-04-22 04:38:28,FALSE
"x1384678094989037570","R PROGRAMMING","/Abbas_Duwain/lists/r-programming-18620",2,107,"public","","r-programming-18620","@Abbas_Duwain/r-programming-18620",2021-04-21 01:19:18,FALSE
"x1382503476123422725","R Tidyverse people","/Sky32456985/lists/r-tidyverse-people-18394",0,16,"public","People work on tidyverse projects","r-tidyverse-people-18394","@Sky32456985/r-tidyverse-people-18394",2021-04-15 01:18:09,FALSE
"x1382021762280476675","⭐️⭐️⭐️⭐️⭐️","/BWHildebrandt/lists/list-87586",0,253,"public","","list-87586","@BWHildebrandt/list-87586",2021-04-13 17:23:59,FALSE
